No,Unit,Time,dir,CMD,q,w,Resp,Errorcode
34606,BRM800,2024040820:35:05.312,Send,46,,,,
34607,BRM800,2024040820:35:06.447,Recv,46,,,4F,
34608,BRM800,2024040820:35:06.582,Send,37,,,,
34609,BRM800,2024040820:35:18.131,Recv,37,,,4F,
34610,BRM800,2024040820:35:19.496,Send,45,,,,
34611,BRM800,2024040820:35:21.663,Recv,45,,,4F,
34612,BRM800,2024040820:35:23.000,Send,46,,,,
34613,BRM800,2024040820:35:26.930,Recv,46,,,4F,
34614,BRM800,2024040820:35:27.068,Send,39,,,,
34615,BRM800,2024040820:35:34.215,Recv,39,,,4F,
34616,BRM800,2024040820:39:55.672,Send,46,,,,
34617,BRM800,2024040820:39:56.817,Recv,46,,,4F,
34618,BRM800,2024040820:39:56.952,Send,37,,,,
34619,BRM800,2024040820:40:10.921,Recv,37,,,4F,
34620,BRM800,2024040820:40:12.422,Send,45,,,,
34621,BRM800,2024040820:40:14.689,Recv,45,,,4F,
34622,BRM800,2024040820:40:16.015,Send,46,,,,
34623,BRM800,2024040820:40:19.944,Recv,46,,,4F,
34624,BRM800,2024040820:40:20.082,Send,39,,,,
34625,BRM800,2024040820:40:27.365,Recv,39,,,4F,
34626,BRM800,2024040820:41:44.500,Send,46,,,,
34627,BRM800,2024040820:41:45.629,Recv,46,,,4F,
34628,BRM800,2024040820:41:45.763,Send,37,,,,
34629,BRM800,2024040820:41:58.425,Recv,37,,,4F,
34630,BRM800,2024040820:41:59.846,Send,45,,,,
